Region,Name,count
MATTARELLO,Cupressus sempervirens,1
MATTARELLO,Fagus,2
MATTARELLO,Fagus sylvatica,9
MATTARELLO,Fraxinus excelsior,6
MATTARELLO,Jasminum,2
MATTARELLO,Koelreuteria paniculata,2
MATTARELLO,Larix decidua,2
MATTARELLO,Liriodendron tulipifera,6
MATTARELLO,Maclura pomifera,2
MATTARELLO,Magnolia,1
MATTARELLO,Malus,1
MATTARELLO,Malus floribunda,6
MATTARELLO,Metasequoia glyptostroboides,4
MATTARELLO,Ostrya carpinifolia,4
MATTARELLO,Parrotia persica,3
MATTARELLO,Picea abies,2
MATTARELLO,Picea glauca,1
MATTARELLO,Pinus,1
MATTARELLO,Pinus nigra,3
MATTARELLO,Platanus x hispanica,6
MATTARELLO,Prunus avium,3
MATTARELLO,Prunus cerasifera,8
MATTARELLO,Pseudotsuga menziesii,2
MATTARELLO,Quercus petraea,1
MATTARELLO,Quercus robur,13
MATTARELLO,Quercus rubra,1
MATTARELLO,Robinia pseudoacacia,1
MATTARELLO,Sophora japonica,13
MATTARELLO,Sorbus aucuparia,1
MATTARELLO,Tilia cordata,6
MATTARELLO,Tilia x europaea,5
MATTARELLO,Ulmus minor,9
MATTARELLO,Wisteria sinensis,2
MEANO,Abies alba,1
MEANO,Acer palmatum,1
MEANO,Acer pseudoplatanus,16
MEANO,Alnus incana,5
MEANO,Betula pendula,6
MEANO,Carpinus betulus,2
MEANO,Cedrus libani,5
MEANO,Celtis australis,9
MEANO,Cupressus,20
MEANO,Cupressus sempervirens,3
MEANO,Davidia involucrata,2
MEANO,Fagus,3
MEANO,Fagus sylvatica,19
MEANO,Fraxinus angustifolia,2
MEANO,Fraxinus excelsior,4
MEANO,Ginkgo biloba,1
MEANO,Malus floribunda,2
MEANO,Morus alba,1
MEANO,Ostrya carpinifolia,1
MEANO,Picea abies,3
MEANO,Pinus nigra,1
MEANO,Platanus x hispanica,9
MEANO,Populus alba,4
MEANO,Prunus,1
MEANO,Prunus avium,9
MEANO,Prunus dulcis,1
MEANO,Pterocarya rhoifolia,1
MEANO,Pyrus calleryana,14
MEANO,Quercus petraea,1
MEANO,Quercus robur,33
MEANO,Quercus rubra,1
MEANO,Sophora japonica,1
MEANO,Sorbus aucuparia,1
MEANO,Sorbus torminalis,2
MEANO,Tilia cordata,1
MEANO,Tilia x europaea,19
MEANO,Ulmus minor,1
OLTREFERSINA,Abies,8
OLTREFERSINA,Abies alba,3
OLTREFERSINA,Acer,8
OLTREFERSINA,Acer buergerianum,28
OLTREFERSINA,Acer campestre,128
OLTREFERSINA,Acer negundo,30
OLTREFERSINA,Acer platanoides,78
OLTREFERSINA,Acer pseudoplatanus,31
OLTREFERSINA,Acer rubrum,5
OLTREFERSINA,Acer saccharinum,18
OLTREFERSINA,Aesculus hippocastanum,34
OLTREFERSINA,Ailanthus altissima,9
OLTREFERSINA,Alnus,1
OLTREFERSINA,Alnus glutinosa,1
OLTREFERSINA,Arbutus unedo,1
OLTREFERSINA,Aucuba japonica,2
OLTREFERSINA,Berberis thunbergii,1
OLTREFERSINA,Betula,12
OLTREFERSINA,Betula pendula,33
OLTREFERSINA,Buxus sempervirens,5
OLTREFERSINA,Calocedrus decurrens,1
OLTREFERSINA,Calycanthus,2
OLTREFERSINA,Carpinus betulus,126
OLTREFERSINA,Cedrus atlantica,19
OLTREFERSINA,Cedrus deodara,95
OLTREFERSINA,Cedrus libani,5
OLTREFERSINA,Celtis australis,341
OLTREFERSINA,Cercis siliquastrum,23
OLTREFERSINA,Chamaecyparis lawsoniana,14
OLTREFERSINA,Clerodendrum trichotomum,4
OLTREFERSINA,Cornus,2
OLTREFERSINA,Corylus avellana,2
OLTREFERSINA,Corylus colurna,23
OLTREFERSINA,Corylus maxima,2
OLTREFERSINA,Crataegus,7
OLTREFERSINA,Crataegus monogyna,2
OLTREFERSINA,Crataegus x lavallei,1
OLTREFERSINA,Cupressus,17
