Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Celtis australis,14,6,1.8,5,19.6,0.8,0.12
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Celtis australis,18,6,1.8,6,28.3,0.9,0.15
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,9,5,1.5,2,3.1,1.5,0.24
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Carpinus betulus,9,2.5,0.8,2,3.1,1.5,0.24
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Carpinus betulus,10,5,1.5,3,7.1,1.7,0.27
Carpinus betulus,10,5,1.5,3,7.1,1.7,0.27
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Carpinus betulus,9,4.5,1.3,3,7.1,1.5,0.24
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,9,4.5,1.3,3,7.1,1.5,0.24
Carpinus betulus,10,4.5,1.3,2.5,4.9,1.7,0.27
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,17,6,1.8,4,12.6,0.9,0.14
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,18,6,1.8,4,12.6,0.9,0.15
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,22,6,1.8,4,12.6,1.1,0.17
Celtis australis,11,5,1.5,4,12.6,0.7,0.1
Celtis australis,9,5,1.5,3,7.1,0.6,0.09
Celtis australis,11,5,1.5,4,12.6,0.7,0.1
Celtis australis,11,5,1.5,4,12.6,0.7,0.1
Celtis australis,9,4.5,1.3,3,7.1,0.6,0.09
Celtis australis,10,5,1.5,3.5,9.6,0.6,0.1
Celtis australis,9,5,1.5,3,7.1,0.6,0.09
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,13,5,1.5,5,19.6,0.7,0.12
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,12,4.5,1.3,3,7.1,0.7,0.11
Celtis australis,10,4.5,1.3,3,7.1,0.6,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,11,5,1.5,3,7.1,0.7,0.1
Celtis australis,11,5,1.5,4,12.6,0.7,0.1
Celtis australis,12,6,1.8,4,12.6,0.7,0.11
Celtis australis,12,4,1.2,3,7.1,0.7,0.11
Celtis australis,25,8,2.4,6,28.3,1.2,0.19
Celtis australis,25,8,2.4,6,28.3,1.2,0.19
Celtis australis,19,8,2.4,6,28.3,1,0.15
