Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,canopy_cov,index_right,numero_cir,area,perimetro,Region,fumetto
973.0,Prunus cerasifera,32,1370.41,361.2,58.03,7.8,1.25,0.3,0.55,,,228.3,1.17,,2.97,20.7,10,3,8,50.3,157.4,9.6,46.06460876318214,11.15455749470206,POINT (11.15455749470206 46.06460876318214),50.3,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
985.0,Cupressus,16,629.75,185.8,29.85,7,1.13,0,0.02,,,6.5,0.03,,1.18,18.7,10,3,1,0.8,4.5,1.1,46.06464519522829,11.15456809288178,POINT (11.15456809288178 46.06464519522829),0.8,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
986.0,Cupressus,34,1801.79,829.6,133.28,15.1,2.42,0,0.06,,,24,0.12,,2.61,40.2,14,4.2,2,3.1,16.6,3.9,46.06468663747324,11.154570740235,POINT (11.154570740235 46.06468663747324),3.1,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
987.0,Cupressus,44,2817.55,1390,223.33,19.6,3.14,0,0.05,,,22.9,0.12,,3.32,52.2,14,4.2,2,3.1,15.8,3.7,46.06530430326043,11.15646175110599,POINT (11.15646175110599 46.06530430326043),3.1,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
988.0,Sorbus,8,178.35,18.1,2.91,1.8,0.28,0,0.01,,,3.1,0.02,,0.3,4.7,4,1.2,1,0.8,2.1,0.2,46.0652263868915,11.15646505153687,POINT (11.15646505153687 46.0652263868915),0.8,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1008.0,Platanus x hispanica,40,2464.81,593,95.28,11.3,1.82,0.5,0.99,,,414,2.13,,4.94,30.3,15,4.5,9,63.6,285.4,13.1,46.06431629865519,11.15030306161994,POINT (11.15030306161994 46.06431629865519),63.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1018.0,Corylus colurna,21,895.37,186,29.88,6.1,0.98,0.2,0.38,,,158.7,0.82,,2.18,16.3,8,2.4,7,38.5,109.4,7.6,46.06439701515755,11.1503135669127,POINT (11.1503135669127 46.06439701515755),38.5,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1019.0,Corylus colurna,28,1338.11,354.3,56.93,8.9,1.43,0.5,0.91,,,380.8,1.96,,4.3,23.7,11,3.3,10,78.5,262.5,18.2,46.06579516423592,11.15654888591582,POINT (11.15654888591582 46.06579516423592),78.5,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1038.0,Prunus serrulata,13,524.45,48,7.71,2.8,0.45,0,0.04,,,16.5,0.08,,0.58,7.5,4,1.2,4,12.6,11.4,0.9,46.06583626951848,11.15657414952482,POINT (11.15657414952482 46.06583626951848),12.6,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
1039.0,Prunus serrulata,10,213.61,25.3,4.07,1.9,0.31,0,0.01,,,5.6,0.03,,0.35,5.2,3.5,1,2.5,4.9,3.9,0.3,46.06577535424278,11.15649691070774,POINT (11.15649691070774 46.06577535424278),4.9,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
