Tree Type,ARGENTARIO,BONDONE,CENTRO STORICO PIEDICASTELLO,GARDOLO,MATTARELLO,MEANO,OLTREFERSINA,POVO,RAVINA-ROMAGNANO,S.GIUSEPPE-S.CHIARA,SARDAGNA,VILLAZZANO,Tree Type Grand Total
Wisteria sinensis,0,0,1,1,2,0,0,0,0,0,0,0,4
Albizia julibrissin,0,0,1,2,0,0,0,0,0,0,0,0,3
Chamaecyparis,0,0,1,0,0,0,0,0,0,2,0,0,3
Cupressus lusitanica,0,0,0,0,0,0,1,0,0,2,0,0,3
Cupressus torulosa,0,0,0,0,0,0,0,0,0,3,0,0,3
Eriobotrya japonica,0,0,0,0,0,0,0,0,0,2,0,1,3
Juglans,0,0,0,0,0,0,2,1,0,0,0,0,3
Lonicera,0,0,3,0,0,0,0,0,0,0,0,0,3
Osmanthus fragrans,0,0,1,0,0,0,1,0,0,1,0,0,3
Philadelphus,0,0,0,0,0,0,3,0,0,0,0,0,3
Pinus halepensis,0,0,0,0,0,0,0,0,0,3,0,0,3
Pinus pinaster,0,0,0,0,0,0,0,0,0,3,0,0,3
Pittosporum tobira,0,0,1,0,0,0,1,0,0,1,0,0,3
Rhododendron obtusum,0,0,2,0,0,0,0,0,0,1,0,0,3
Salix magnifica,0,0,0,0,0,0,3,0,0,0,0,0,3
Sequoiadendron giganteum,0,0,2,0,0,0,1,0,0,0,0,0,3
Ulmus laevis,0,0,0,0,0,0,2,0,0,1,0,0,3
Arbutus unedo,1,0,0,0,0,0,1,0,0,0,0,0,2
Aucuba japonica,0,0,0,0,0,0,2,0,0,0,0,0,2
Calycanthus,0,0,0,0,0,0,2,0,0,0,0,0,2
Cornus mas,0,0,0,0,1,0,0,0,0,1,0,0,2
Cornus sanguinea,0,0,0,0,0,0,0,0,0,0,0,2,2
Elaeagnus,0,0,0,0,0,0,2,0,0,0,0,0,2
Fraxinus angustifolia ssp. Oxycarpa,0,0,1,0,0,0,0,0,0,1,0,0,2
Hedera helix,0,0,2,0,0,0,0,0,0,0,0,0,2
Hibiscus syriacus,0,0,1,1,0,0,0,0,0,0,0,0,2
Jasminum,0,0,0,0,2,0,0,0,0,0,0,0,2
Maclura pomifera,0,0,0,0,2,0,0,0,0,0,0,0,2
Malus sylvestris,0,0,0,0,0,0,0,0,0,0,0,2,2
Philadelphus pubescens,0,0,2,0,0,0,0,0,0,0,0,0,2
Pinus coulteri,0,0,1,0,0,0,1,0,0,0,0,0,2
Populus tremula,1,0,0,0,0,0,1,0,0,0,0,0,2
Punica granatum,0,0,0,2,0,0,0,0,0,0,0,0,2
Salix alba,1,0,0,0,0,0,1,0,0,0,0,0,2
Salix x sepulcralis v. chrysocoma,0,0,1,0,0,0,0,0,0,1,0,0,2
Spiraea,0,0,1,0,0,0,0,0,0,1,0,0,2
Spiraea japonica,0,0,0,0,0,0,2,0,0,0,0,0,2
Thuja occidentalis,0,0,0,1,0,0,1,0,0,0,0,0,2
Thuja plicata,0,0,0,0,0,0,0,0,0,2,0,0,2
Viburnum,0,0,0,0,0,0,2,0,0,0,0,0,2
Viburnum sieboldii,0,0,0,0,0,0,0,0,0,0,0,2,2
Abies nordmanniana,0,0,0,0,1,0,0,0,0,0,0,0,1
Abies pinsapo,0,1,0,0,0,0,0,0,0,0,0,0,1
Acacia,0,0,0,0,1,0,0,0,0,0,0,0,1
Acer opalus,0,0,0,0,0,0,0,0,0,0,0,1,1
