Name,Size,Carbon,Canopy
Prunus laurocerasus,15.0,76.45714285714287,94.82857142857142
Prunus lusitanica,15.0,74.3,3.1
Prunus mahaleb,19.0,120.9,50.3
Prunus padus,20.75,125.08333333333333,31.95
Prunus serrulata,20.45,464.28999999999996,14.520000000000001
Pseudotsuga menziesii,41.60322580645161,235.23548387096776,27.48709677419355
Pterocarya,16.666666666666668,75.48333333333333,32.15
Pterocarya rhoifolia,31.4,536.0692307692308,38.64615384615385
Punica granatum,28.2,266.3,21.7
Pyrus,19.641666666666666,115.09166666666665,9.033333333333333
Pyrus calleryana,17.365269461077844,96.92814371257485,21.663473053892215
Pyrus communis,19.523809523809526,153.46190476190475,5.666666666666667
Quercus,22.489473684210527,235.33157894736843,21.773684210526316
Quercus cerris,5.0,12.2,1.2
Quercus ilex,20.78076923076923,254.34999999999997,18.2
Quercus petraea,27.763157894736842,287.7921052631579,31.544736842105266
Quercus pubescens,8.0,27.1,33.9089552238806
Quercus robur,16.41654411764706,118.60367647058824,16.781617647058823
Quercus rubra,19.99527027027027,197.31621621621622,23.429054054054053
Rhododendron obtusum,28.2,465.23333333333335,21.7
Rhus typhina,12.0,12.3,19.6
Robinia pseudoacacia,36.191821561338294,386.64832713754646,32.61561338289963
Salix,28.571428571428573,1032.0142857142857,24.25714285714286
Salix alba,48.0,490.5,39.3
Salix babylonica,31.11111111111111,806.6555555555556,26.144444444444446
Salix magnifica,28.2,455.8999999999999,21.7
Salix x sepulcralis v. chrysocoma,28.2,455.9,21.7
Sambucus nigra,12.323529411764707,78.63529411764705,11.1
Sequoia sempervirens,28.0,119.1,12.6
Sequoiadendron giganteum,96.3,4794.233333333334,40.06666666666666
Sophora japonica,24.875531914893617,214.26223404255322,39.656648936170214
Sorbus,16.363636363636363,124.2090909090909,6.363636363636363
Sorbus aucuparia,10.5,37.512499999999996,5.68125
Sorbus thuringiaca,43.25,1981.975,14.2875
Sorbus torminalis,16.428571428571427,161.41428571428574,17.742857142857144
Spiraea,28.2,396.2,21.7
Spiraea japonica,28.2,396.2,21.7
Syringa vulgaris,28.2,320.9,21.7
Tamarix gallica,25.0,271.9,7.1
Taxodium distichum,44.13333333333333,457.6666666666667,25.275000000000002
Taxus baccata,39.32127659574468,496.44893617021273,32.11702127659574
Thuja,18.27777777777778,179.83333333333334,10.488888888888887
Thuja occidentalis,27.5,241.14999999999998,11.350000000000001
Thuja orientalis,22.102777777777778,250.86111111111111,19.647222222222226
Thuja plicata,24.0,15.15,7.1
Tilia,22.469565217391303,324.0217391304348,33.93913043478261
Tilia cordata,18.561493123772102,129.6023575638507,19.849115913555995
Tilia platyphyllos,24.955737704918032,256.4311475409836,37.47540983606557
Tilia tomentosa,8.5,11.2,7.2250000000000005
Tilia x euchlora,18.28666666666667,177.94,26.946666666666665
Tilia x europaea,29.830785562632695,862.8326963906582,33.69787685774947
