,size
948,12.0
949,10.0
950,10.0
951,10.0
952,10.0
953,10.0
954,44.0
955,14.0
956,20.0
957,40.0
958,17.0
959,17.0
960,17.0
961,17.0
962,4.0
963,7.0
964,7.0
965,8.0
966,8.0
967,8.0
968,8.0
969,8.0
970,7.0
971,6.0
972,12.0
973,13.0
974,13.0
975,19.0
976,14.0
977,14.0
978,14.0
979,11.0
980,11.0
981,11.0
982,21.0
983,12.0
984,16.0
985,9.0
986,14.0
987,13.0
988,15.0
989,16.0
990,12.0
991,12.0
992,14.0
993,14.0
994,12.0
995,17.0
996,16.0
997,9.0
998,13.0
999,13.0
1000,16.0
1001,16.0
1002,12.0
1003,12.0
1004,19.0
1005,9.0
1006,8.0
1007,18.0
1008,11.0
1009,6.0
1010,6.0
1011,6.0
1012,7.0
1013,7.0
1014,7.0
1015,7.0
1016,7.0
1017,7.0
1018,20.0
1019,12.0
1020,35.0
1021,35.0
1022,26.2
1023,26.2
1024,26.2
1025,26.2
1026,26.2
1027,26.2
1028,26.2
1029,26.2
1030,26.2
1031,26.2
1032,26.2
1033,26.2
1034,26.2
1035,26.2
1036,26.2
1037,26.2
1038,26.2
1039,26.2
1040,26.2
1041,26.2
1042,50.0
1043,8.0
1044,8.0
1045,8.0
1046,10.0
1047,8.0
1048,8.0
1049,8.0
1050,8.0
1051,8.0
1052,8.0
1053,8.0
1054,15.0
1055,15.0
1056,15.0
1057,15.0
1058,15.0
1059,15.0
1060,15.0
1061,15.0
1062,15.0
1063,15.0
1064,15.0
1065,15.0
1066,15.0
1067,15.0
1068,55.0
1069,40.0
1070,40.0
1071,40.0
1072,46.0
1073,42.0
1074,48.0
1075,41.0
1076,44.0
1077,41.0
1078,50.0
1079,38.0
1080,27.0
1081,22.0
1082,31.0
1083,31.0
1084,49.0
1085,43.0
1086,43.0
1087,46.0
1088,38.0
1089,46.0
1090,25.0
1091,46.0
1092,42.0
1093,49.0
1094,43.0
1095,56.0
1096,22.0
1097,22.0
1098,22.0
1099,22.0
1100,22.0
1101,22.0
1102,22.0
1103,22.0
1104,22.0
1105,22.0
1106,22.0
1107,20.0
1108,20.0
1109,20.0
1110,20.0
1111,20.0
1112,34.0
1113,46.0
1114,36.0
1115,28.0
1116,38.0
1117,26.0
1118,31.0
1119,31.0
1120,25.0
1121,15.0
1122,15.0
1123,15.0
1124,36.0
1125,38.0
1126,38.0
1127,38.0
1128,65.0
1129,65.0
1130,35.0
1131,17.0
1132,35.0
1133,14.0
1134,30.0
1135,14.0
1136,21.0
1137,14.0
1138,18.0
1139,140.0
1140,56.0
1141,38.0
1142,48.0
1143,48.0
1144,48.0
1145,58.0
1146,48.0
1147,60.0
1148,60.5
1149,92.0
1150,47.0
1151,70.0
1152,72.0
1153,17.0
1154,17.0
1155,17.0
1156,17.0
1157,60.0
1158,17.0
1159,17.0
1160,17.0
1161,35.0
1162,35.0
1163,28.0
1164,27.0
1165,28.0
1166,40.0
1167,40.0
1168,40.0
1169,27.0
1170,35.0
1171,35.0
1172,24.0
1173,26.0
1174,24.0
1175,26.0
1176,26.0
1177,26.0
1178,50.0
1179,52.0
1180,50.0
1181,48.0
1182,48.0
1183,34.0
1184,34.0
1185,44.0
1186,10.0
1187,10.0
1188,10.0
1189,10.0
1190,10.0
1191,10.0
1192,10.0
1193,10.0
1194,10.0
1195,10.0
1196,10.0
1197,10.0
1198,10.0
1199,10.0
1200,10.0
1201,10.0
1202,10.0
1203,10.0
1204,10.0
1205,10.0
1206,10.0
1207,34.0
1208,32.0
1209,28.0
1210,21.0
1211,16.0
1212,21.0
1213,21.0
1214,21.0
1215,21.0
1216,28.0
1217,30.0
1218,30.0
1219,30.0
1220,25.0
1221,25.0
1222,25.0
1223,30.0
1224,30.0
1225,30.0
1226,25.0
1227,25.0
1228,25.0
1229,25.0
1230,25.0
1231,25.0
1232,25.0
1233,25.0
1234,25.0
1235,25.0
1236,25.0
1237,25.0
1238,22.0
1239,16.0
1240,22.0
1241,25.0
1242,32.0
1243,65.6
1244,57.9
1245,56.0
1246,59.2
1247,59.5
1248,71.5
1249,29.6
1250,29.6
1251,29.6
1252,29.6
1253,8.5
1254,18.0
1255,11.0
1256,19.0
1257,19.0
1258,19.0
1259,19.0
1260,19.0
1261,19.0
1262,11.0
1263,40.0
1264,9.0
1265,9.0
1266,10.0
1267,10.0
1268,10.0
1269,10.0
1270,9.0
1271,10.0
1272,8.0
1273,8.0
1274,8.0
1275,8.0
1276,8.0
1277,8.0
1278,8.0
1279,8.0
1280,8.0
1281,18.0
1282,16.0
1283,15.0
1284,14.0
1285,14.0
1286,14.0
1287,14.0
1288,13.0
1289,46.0
1290,15.0
1291,15.0
1292,24.0
1293,32.0
1294,38.0
1295,32.0
1296,32.0
1297,15.0
1298,7.0
1299,7.0
1300,7.0
1301,7.0
1302,7.0
1303,7.0
1304,7.0
1305,7.0
1306,7.0
1307,7.0
1308,20.0
1309,7.0
1310,7.0
1311,7.0
1312,7.0
1313,7.0
1314,6.0
1315,13.0
1316,12.0
1317,13.0
1318,13.0
1319,13.0
1320,13.0
1321,13.0
1322,16.0
1323,16.0
1324,11.0
1325,11.0
1326,26.2
1327,26.2
1328,26.2
1329,26.2
1330,26.2
1331,26.2
1332,26.2
1333,26.2
1334,26.2
1335,26.2
1336,26.2
1337,26.2
1338,26.2
1339,26.2
1340,26.2
1341,26.2
1342,26.2
1343,26.2
1344,26.2
1345,22.0
1346,21.0
1347,41.0
1348,34.0
1349,28.0
1350,16.0
1351,10.0
1352,10.0
1353,7.0
1354,7.0
1355,64.0
1356,30.0
1357,50.0
1358,16.0
1359,15.0
1360,15.0
1361,25.0
1362,83.0
1363,15.0
1364,96.0
1365,48.0
1366,90.0
1367,30.0
1368,30.0
1369,42.0
1370,35.0
1371,30.0
1372,15.0
1373,15.0
1374,25.0
1375,25.0
1376,15.0
1377,35.0
1378,10.0
1379,30.0
1380,30.0
1381,50.0
1382,10.0
1383,10.0
1384,10.0
1385,10.0
1386,60.0
1387,60.0
1388,60.0
1389,60.0
1390,60.0
1391,10.0
1392,10.0
1393,22.0
1394,10.0
1395,60.0
1396,10.0
1397,30.0
1398,60.0
1399,90.0
1400,25.0
1401,26.0
1402,35.0
1403,35.0
1404,42.0
1405,42.0
1406,42.0
1407,42.0
1408,25.0
1409,19.0
1410,19.0
1411,19.0
1412,28.0
1413,18.0
1414,18.0
1415,18.0
1416,18.0
1417,18.0
1418,18.0
1419,18.0
1420,24.0
1421,14.0
1422,38.0
1423,27.0
1424,27.0
1425,35.0
1426,18.0
1427,28.0
1428,38.0
1429,29.0
1430,16.0
1431,29.0
1432,34.0
1433,19.0
1434,18.0
1435,18.0
1436,18.0
1437,26.0
1438,10.0
1439,25.0
1440,25.0
1441,50.0
1442,18.0
1443,18.0
1444,18.0
1445,18.0
1446,18.0
1447,18.0
1448,18.0
1449,18.0
1450,18.0
1451,18.0
1452,18.0
1453,28.0
1454,28.0
1455,28.0
1456,38.0
1457,38.0
1458,38.0
1459,38.0
1460,44.0
1461,44.0
1462,26.0
1463,26.0
1464,44.0
1465,43.0
1466,43.0
1467,43.0
1468,44.0
1469,44.0
1470,44.0
1471,44.0
1472,44.0
1473,28.0
1474,26.0
1475,21.0
1476,21.0
1477,21.0
1478,21.0
1479,21.0
1480,21.0
1481,21.0
1482,21.0
1483,21.0
1484,21.0
1485,56.0
1486,22.0
1487,22.0
1488,16.0
1489,16.0
1490,22.0
1491,22.0
1492,16.0
1493,16.0
1494,14.0
1495,14.0
1496,16.0
1497,16.0
1498,17.0
1499,15.0
1500,15.0
1501,15.0
1502,22.0
1503,17.0
1504,17.0
1505,15.0
1506,15.0
1507,15.0
1508,19.0
1509,36.0
1510,18.0
1511,15.0
1512,15.0
1513,14.5
1514,28.2
1515,28.2
1516,28.2
1517,28.2
1518,8.0
1519,110.0
1520,22.0
1521,20.0
1522,46.0
1523,46.0
1524,45.0
1525,46.0
1526,12.0
1527,18.0
1528,13.0
1529,10.0
1530,10.0
1531,19.0
1532,19.0
1533,18.0
1534,16.0
1535,14.0
1536,15.0
1537,12.0
1538,21.7
1539,13.0
1540,18.0
1541,30.0
1542,28.0
1543,94.5
1544,8.0
1545,70.0
1546,40.0
1547,29.0
1548,25.0
1549,50.0
1550,60.0
1551,25.0
1552,50.0
1553,30.0
1554,15.0
1555,20.0
1556,20.0
1557,35.0
1558,20.0
1559,8.0
1560,14.0
1561,106.6
1562,126.1
1563,99.6
1564,20.0
1565,24.0
1566,19.0
1567,14.0
1568,19.0
1569,19.0
1570,13.0
1571,18.0
1572,14.0
1573,6.0
1574,25.0
1575,20.0
1576,25.0
1577,20.0
1578,30.0
1579,50.0
1580,23.0
1581,8.0
1582,57.5
1583,57.5
1584,10.0
1585,24.0
1586,4.0
1587,42.3
1588,7.0
1589,8.0
1590,10.0
1591,11.0
1592,8.0
1593,7.0
1594,12.0
1595,4.0
1596,6.0
1597,4.0
1598,10.0
1599,19.0
1600,26.0
1601,21.0
1602,22.0
1603,18.0
1604,13.0
1605,13.0
1606,13.0
1607,8.0
1608,14.0
1609,11.0
1610,19.0
1611,23.0
1612,56.0
1613,29.0
1614,38.0
1615,19.0
1616,18.0
1617,52.0
1618,19.0
1619,20.0
1620,14.0
1621,25.0
1622,25.0
1623,7.0
1624,10.0
1625,26.0
1626,32.0
1627,27.0
1628,24.0
1629,22.0
1630,34.6
1631,36.0
1632,75.0
1633,50.0
1634,36.9
1635,33.1
1636,4.0
1637,22.0
1638,40.0
1639,22.0
1640,16.0
1641,22.0
1642,80.0
1643,47.8
1644,18.0
1645,12.0
1646,18.0
1647,41.4
1648,23.4
1649,23.4
1650,15.1
1651,15.1
1652,50.0
1653,10.0
1654,16.0
1655,16.0
1656,15.1
1657,15.1
1658,13.0
1659,23.6
1660,23.6
1661,24.6
1662,39.6
1663,30.1
1664,30.1
1665,30.1
1666,30.1
1667,24.6
1668,10.0
1669,10.0
1670,10.0
1671,40.0
1672,25.0
1673,9.0
1674,22.0
1675,35.7
1676,35.7
1677,15.0
1678,32.1
1679,32.1
1680,24.6
1681,24.6
1682,37.0
1683,35.0
1684,22.0
1685,19.0
1686,18.0
1687,22.0
1688,22.0
1689,17.0
1690,30.1
1691,12.0
1692,17.0
1693,28.1
1694,22.0
1695,55.0
1696,15.0
1697,19.0
1698,60.0
1699,37.7
1700,30.1
1701,30.1
1702,30.1
1703,22.0
1704,30.1
1705,30.1
1706,30.1
1707,25.0
1708,36.7
1709,40.0
1710,30.0
1711,30.0
1712,35.0
1713,11.0
1714,13.0
1715,80.0
1716,17.0
1717,25.0
1718,18.0
1719,70.0
1720,15.0
1721,71.0
1722,13.0
1723,16.0
1724,18.0
1725,18.0
1726,15.0
1727,22.0
1728,22.0
1729,29.0
1730,90.0
1731,30.0
1732,30.0
1733,30.0
1734,10.0
1735,14.0
1736,15.0
1737,15.0
1738,4.0
1739,4.0
1740,10.0
1741,4.0
1742,30.0
1743,100.0
1744,23.0
1745,12.1
1746,13.1
1747,25.0
1748,25.0
1749,14.0
1750,8.0
1751,17.0
1752,10.2
1753,11.1
1754,24.0
1755,35.0
1756,30.0
1757,30.0
1758,35.0
1759,35.0
1760,35.0
1761,15.0
1762,5.0
1763,45.0
1764,15.0
1765,14.0
1766,95.0
1767,10.0
1768,20.0
1769,15.0
1770,20.0
1771,20.0
1772,35.0
1773,20.0
1774,15.0
1775,5.0
1776,65.0
1777,12.0
1778,70.0
1779,76.3
1780,22.1
1781,20.0
1782,30.0
1783,15.0
1784,20.0
1785,12.0
1786,18.0
1787,30.0
1788,80.0
1789,15.0
1790,30.0
1791,35.0
1792,15.0
1793,12.0
1794,18.0
1795,10.0
1796,20.0
1797,20.0
1798,25.0
1799,13.0
1800,25.0
1801,25.0
1802,27.0
1803,30.0
1804,15.0
1805,10.0
1806,122.0
1807,57.5
1808,35.0
1809,30.0
1810,19.0
1811,18.0
1812,16.0
1813,22.0
1814,29.0
1815,35.0
1816,34.8
1817,28.0
1818,26.0
1819,16.0
1820,13.0
1821,22.0
1822,100.0
1823,52.0
1824,16.3
1825,14.0
1826,14.0
1827,14.0
1828,16.0
1829,28.0
1830,14.0
1831,57.5
1832,34.6
1833,34.6
1834,16.0
1835,22.0
1836,11.0
1837,28.0
1838,10.0
1839,8.0
1840,7.0
1841,4.0
1842,8.0
1843,5.0
1844,3.0
1845,9.0
1846,7.0
1847,8.0
1848,8.0
1849,4.0
1850,10.0
1851,10.0
1852,9.0
1853,4.0
1854,7.0
1855,6.0
1856,6.0
1857,6.0
1858,10.0
1859,7.0
1860,8.0
1861,5.0
1862,8.0
1863,9.0
1864,11.0
1865,5.0
1866,5.0
1867,5.0
1868,5.0
1869,16.0
1870,110.0
1871,90.0
1872,21.0
1873,13.0
1874,21.0
1875,14.0
1876,19.0
1877,20.0
1878,19.0
1879,27.0
1880,28.0
1881,19.0
1882,32.0
1883,32.0
1884,24.0
1885,19.1
1886,11.0
1887,15.0
1888,10.0
1889,15.1
1890,35.0
1891,32.0
1892,32.1
1893,28.0
1894,24.0
1895,23.4
1896,23.4
1897,23.4
1898,23.4
1899,23.4
1900,23.4
1901,23.4
1902,23.4
1903,23.4
1904,23.4
1905,23.4
1906,23.4
1907,2.0
1908,15.0
1909,109.2
1910,21.0
1911,60.0
1912,28.0
1913,10.0
1914,45.0
1915,25.0
1916,30.0
1917,15.0
1918,26.0
1919,190.0
1920,16.3
1921,48.0
1922,15.0
1923,18.0
1924,16.0
1925,20.0
1926,15.0
1927,23.4
1928,28.0
1929,30.0
1930,28.0
1931,13.0
1932,13.0
1933,13.0
1934,13.0
1935,15.0
1936,15.0
1937,15.0
1938,15.0
1939,13.0
1940,15.0
1941,13.0
1942,13.0
1943,15.0
1944,9.0
1945,11.0
1946,12.0
1947,17.0
1948,19.0
1949,23.4
1950,23.4
1951,23.4
1952,23.4
1953,23.4
1954,51.9
1955,28.0
1956,37.7
1957,37.7
1958,37.7
1959,50.0
1960,26.0
1961,25.0
1962,29.0
1963,26.0
1964,24.0
1965,69.9
1966,69.9
1967,69.9
1968,69.9
1969,69.9
1970,69.9
1971,69.9
1972,69.9
1973,32.0
1974,15.0
1975,33.4
1976,16.0
1977,26.0
1978,25.0
1979,22.0
1980,40.0
1981,15.0
1982,9.0
1983,23.8
1984,16.0
1985,25.0
1986,23.8
1987,37.6
1988,19.0
1989,18.0
1990,18.0
1991,20.0
1992,17.0
1993,60.9
1994,35.0
1995,60.9
1996,48.0
1997,60.0
1998,60.0
1999,71.5
2000,71.5
2001,71.5
2002,71.5
2003,71.5
2004,71.5
2005,71.5
2006,71.5
2007,71.5
2008,38.2
2009,84.7
2010,65.0
2011,71.5
2012,71.5
2013,71.5
2014,71.5
2015,48.0
2016,71.5
2017,71.5
2018,71.5
2019,71.5
2020,71.5
2021,71.5
2022,71.5
2023,71.5
2024,63.0
2025,55.0
2026,60.0
2027,60.0
2028,55.0
2029,44.0
2030,44.0
2031,40.0
2032,71.5
2033,58.0
2034,60.0
2035,60.0
2036,60.0
2037,61.0
2038,63.7
2039,40.7
2040,88.8
2041,70.0
2042,71.5
2043,71.5
2044,82.0
2045,68.0
2046,44.6
2047,76.3
2048,76.3
2049,55.0
2050,56.0
2051,62.0
2052,65.0
2053,32.0
2054,24.0
2055,30.1
2056,30.1
2057,30.1
2058,50.0
2059,50.0
2060,50.0
2061,50.0
2062,50.0
2063,50.0
2064,30.0
2065,30.1
2066,30.1
2067,30.1
2068,30.1
2069,30.1
2070,30.1
2071,30.1
2072,30.1
2073,30.1
2074,30.1
2075,30.1
2076,30.1
2077,30.1
2078,30.1
2079,30.1
2080,30.1
2081,30.1
2082,30.1
2083,30.1
2084,30.1
2085,30.1
2086,30.1
2087,30.1
2088,30.1
2089,28.0
2090,7.0
2091,44.0
2092,44.0
2093,27.0
2094,42.0
2095,60.0
2096,39.0
2097,42.0
2098,55.0
2099,26.0
2100,53.0
2101,19.0
2102,50.0
2103,50.0
2104,22.0
2105,19.0
2106,14.0
2107,18.0
2108,16.0
2109,16.0
2110,16.0
2111,19.0
2112,15.0
2113,14.0
2114,17.0
2115,15.0
2116,30.1
2117,25.0
2118,39.0
2119,40.0
2120,39.0
2121,50.0
2122,34.0
2123,25.0
2124,19.0
2125,40.0
2126,20.0
2127,9.0
2128,13.0
2129,14.0
2130,28.0
2131,33.0
2132,45.0
2133,40.0
2134,30.1
2135,48.0
2136,17.0
2137,16.0
2138,18.0
2139,24.0
2140,25.0
